#TEXT/SIMPLE
# elo ehi spectrum
1.549999998607 1.559999998596 1.0146523455818e-06
1.559999998596 1.569999998585 1.0068702531372e-06
1.569999998585 1.579999998574 9.9945435086015e-07
1.579999998574 1.589999998563 9.9212519273034e-07
1.589999998563 1.599999998552 9.8488151698715e-07
1.599999998552 1.609999998541 9.7772215276638e-07
1.609999998541 1.619999998529 9.7064583612826e-07
1.619999998529 1.629999998518 9.6365145291583e-07
1.629999998518 1.639999998507 9.5673779606986e-07
1.639999998507 1.649999998496 9.4990368708823e-07
1.649999998496 1.659999998485 9.4314803351145e-07
1.659999998485 1.669999998474 9.3646965213302e-07
1.669999998474 1.679999998463 9.2986750252500e-07
1.679999998463 1.689999998451 9.2334045373979e-07
1.689999998451 1.699999998440 9.1688740111595e-07
1.699999998440 1.709999998429 9.1050732166257e-07
1.709999998429 1.719999998418 9.0419915971982e-07
1.719999998418 1.729999998407 8.9796158872245e-07
1.729999998407 1.739999998396 8.9179413317959e-07
1.739999998396 1.749999998385 8.8569557055345e-07
1.749999998385 1.759999998373 8.7966482907483e-07
1.759999998373 1.769999998362 8.7370096897487e-07
1.769999998362 1.779999998351 8.6780307122031e-07
1.779999998351 1.789999998340 8.6197018397399e-07
1.789999998340 1.799999998329 8.5620132392502e-07
1.799999998329 1.809999998318 8.5049563416125e-07
1.809999998318 1.819999998307 8.4485217253683e-07
1.819999998307 1.829999998295 8.3927006920628e-07
1.829999998295 1.839999998284 8.3374842203339e-07
1.839999998284 1.849999998273 8.2605662383064e-07
1.849999998273 1.859999998262 8.2069513240105e-07
1.859999998262 1.869999998251 8.1539065567984e-07
1.869999998251 1.879999998240 8.1014238318496e-07
1.879999998240 1.889999998229 8.0494957107782e-07
1.889999998229 1.899999998217 7.9981139293222e-07
1.899999998217 1.909999998206 7.9472713742962e-07
1.909999998206 1.919999998195 7.8969605949476e-07
1.919999998195 1.929999998184 7.8471738153528e-07
1.929999998184 1.939999998173 7.7979039007857e-07
1.939999998173 1.949999998162 7.7491438635078e-07
1.949999998162 1.959999998151 7.7008868588979e-07
1.959999998151 1.969999998139 7.6531257139038e-07
1.969999998139 1.979999998128 7.6058534034967e-07
1.979999998128 1.989999998117 7.5590639704767e-07
1.989999998117 1.999999998106 7.5127501977628e-07
1.999999998106 2.009999998095 7.4669059291387e-07
2.009999998095 2.019999998084 7.4215246773033e-07
2.019999998084 2.029999998073 7.3766000853984e-07
2.029999998073 2.039999998061 7.3321263708223e-07
2.039999998061 2.049999998050 7.2880969748384e-07
2.049999998050 2.059999998039 7.2445059124681e-07
2.059999998039 2.069999998028 7.2013477553146e-07
2.069999998028 2.079999998017 7.1586167428564e-07
2.079999998017 2.089999998006 7.1163063600724e-07
2.089999998006 2.099999997995 7.0744119455508e-07
2.099999997995 2.109999997983 7.0329272110193e-07
2.109999997983 2.119999997972 6.9918472696111e-07
2.119999997972 2.129999997961 6.9511669026541e-07
2.129999997961 2.139999997950 6.9108801499697e-07
2.139999997950 2.149999997939 6.8709820038893e-07
2.149999997939 2.159999997928 6.8314679660695e-07
2.159999997928 2.169999997917 6.7923323818300e-07
2.169999997917 2.179999997905 6.7535709368914e-07
2.179999997905 2.189999997894 6.7151781711199e-07
2.189999997894 2.199999997883 6.6771495400335e-07
2.199999997883 2.209999997872 6.6394801794121e-07
2.209999997872 2.219999997861 6.6021657164384e-07
2.219999997861 2.229999997850 6.5652014593036e-07
2.229999997850 2.239999997839 6.5285828028935e-07
2.239999997839 2.249999997827 6.4923056206233e-07
2.249999997827 2.259999997816 6.4563650766249e-07
2.259999997816 2.269999997805 6.4207572035664e-07
2.269999997805 2.279999997794 6.3854781043013e-07
2.279999997794 2.289999997783 6.3505227957477e-07
2.289999997783 2.299999997772 6.3158879186880e-07
2.299999997772 2.309999997761 6.2815671333890e-07
2.309999997761 2.319999997750 6.2475606050102e-07
2.319999997750 2.329999997738 6.2138621607733e-07
2.329999997738 2.339999997727 6.1804683299219e-07
2.339999997727 2.349999997716 6.1473749567788e-07
2.349999997716 2.359999997705 6.1145787002241e-07
2.359999997705 2.369999997694 6.0820759076755e-07
2.369999997694 2.379999997683 6.0498622578507e-07
2.379999997683 2.389999997672 6.0179349635530e-07
2.389999997672 2.399999997660 5.9862901960222e-07
2.399999997660 2.409999997649 5.9549245538312e-07
2.409999997649 2.419999997638 5.9238346934985e-07
2.419999997638 2.429999997627 5.8930169720680e-07
2.429999997627 2.439999997616 5.8624685183655e-07
2.439999997616 2.449999997605 5.8321858030711e-07
2.449999997605 2.459999997594 5.8021653575568e-07
2.459999997594 2.469999997582 5.7724048187414e-07
2.469999997582 2.479999997571 5.7383627302780e-07
2.479999997571 2.489999997560 5.7085643506730e-07
2.489999997560 2.499999997549 5.6796388598141e-07
