Sno_1,Name_1,kT,clean_name,Sno_2,name_2,norm
534,SWIFTJ0130.2-4552,0.09,SWIFTJ0130.2-4552,618,SWIFTJ0130.2-4552,2.11E-06
535,SWIFTJ0325.0-4154,0.09,SWIFTJ0325.0-4154,704,SWIFTJ0325.0-4154,2.97E-05
536,SWIFTJ0334.4-1515,0.09,SWIFTJ0334.4-1515,665,SWIFTJ0334.4-1515,1.41E-05
537,SWIFTJ0347.0-3027,0.09,SWIFTJ0347.0-3027,658,SWIFTJ0347.0-3027,1.1E-05
538,SWIFTJ0429.6-2114,0.09,SWIFTJ0429.6-2114,667,SWIFTJ0429.6-2114,1.47E-05
539,SWIFTJ0441.8-0823,0.09,SWIFTJ0441.8-0823,783,SWIFTJ0441.8-0823,0.000113
540,SWIFTJ0951.9-0649,0.09,SWIFTJ0951.9-0649,754,SWIFTJ0951.9-0649,6.03E-05
541,SWIFTJ1136.0+2132,0.09,SWIFTJ1136.0+2132,802,SWIFTJ1136.0+2132,0.000164
542,SWIFTJ1152.1-1122,0.09,SWIFTJ1152.1-1122,729,SWIFTJ1152.1-1122,4.11E-05
543,SWIFTJ1204.8+2758,0.09,SWIFTJ1204.8+2758,693,SWIFTJ1204.8+2758,2.33E-05
544,SWIFTJ1352.8+6917,0.09,SWIFTJ1352.8+6917,759,SWIFTJ1352.8+6917,6.15E-05
545,SWIFTJ1429.2+0118,0.09,SWIFTJ1429.2+0118,762,SWIFTJ1429.2+0118,6.61E-05
546,SWIFTJ1614.0+6544,0.09,SWIFTJ1614.0+6544,673,SWIFTJ1614.0+6544,1.7E-05
547,SWIFTJ1708.6+2155,0.09,SWIFTJ1708.6+2155,632,SWIFTJ1708.6+2155,5.81E-06
548,SWIFTJ2109.1-0942,0.09,SWIFTJ2109.1-0942,819,SWIFTJ2109.1-0942,0.000311
549,SWIFTJ2301.4-5916,0.09,SWIFTJ2301.4-5916,714,SWIFTJ2301.4-5916,3.26E-05
550,SWIFTJ1210.5+3924,0.093,SWIFTJ1210.5+3924,830,SWIFTJ1210.5+3924,0.00112
551,SWIFTJ1239.6-0519,0.093,SWIFTJ1239.6-0519,799,SWIFTJ1239.6-0519,0.000156
552,SWIFTJ1436.4+5846,0.094,SWIFTJ1436.4+5846,789,SWIFTJ1436.4+5846,0.00012
553,SWIFTJ1835.0+3240,0.097,SWIFTJ1835.0+3240,817,SWIFTJ1835.0+3240,0.00026
554,SWIFTJ2248.7-5109,0.098,SWIFTJ2248.7-5109,726,SWIFTJ2248.7-5109,3.83E-05
555,SWIFTJ0810.9+7602,0.099,SWIFTJ0810.9+7602,803,SWIFTJ0810.9+7602,0.000165
556,SWIFTJ0122.0-2818,0.1,SWIFTJ0122.0-2818,731,SWIFTJ0122.0-2818,4.16E-05
557,SWIFTJ0123.9-5846,0.1,SWIFTJ0123.9-5846,806,SWIFTJ0123.9-5846,0.000172
558,SWIFTJ0126.2+1517,0.1,SWIFTJ0126.2+1517,770,SWIFTJ0126.2+1517,7.95E-05
559,SWIFTJ0127.5+1910,0.1,SWIFTJ0127.5+1910,738,SWIFTJ0127.5+1910,4.77E-05
560,SWIFTJ0134.8-0430,0.1,SWIFTJ0134.8-0430,696,SWIFTJ0134.8-0430,2.47E-05
561,SWIFTJ0235.3-2934,0.1,SWIFTJ0235.3-2934,637,SWIFTJ0235.3-2934,6.94E-06
562,SWIFTJ0241.6+0711,0.1,SWIFTJ0241.6+0711,739,SWIFTJ0241.6+0711,4.81E-05
563,SWIFTJ0342.0-2115,0.1,SWIFTJ0342.0-2115,781,SWIFTJ0342.0-2115,0.000107
564,SWIFTJ0418.3+3800,0.1,SWIFTJ0418.3+3800,834,SWIFTJ0418.3+3800,0.00272
565,SWIFTJ0426.2-5711,0.1,SWIFTJ0426.2-5711,768,SWIFTJ0426.2-5711,7.9E-05
566,SWIFTJ0528.1-3933,0.1,SWIFTJ0528.1-3933,307,SWIFTJ0528.1-3933,-99
567,SWIFTJ0736.9+5846,0.1,SWIFTJ0736.9+5846,747,SWIFTJ0736.9+5846,5.41E-05
568,SWIFTJ0817.8+0251,0.1,SWIFTJ0817.8+0251,679,SWIFTJ0817.8+0251,1.94E-05
569,SWIFTJ0925.0+5218,0.1,SWIFTJ0925.0+5218,796,SWIFTJ0925.0+5218,0.000147
570,SWIFTJ1021.7-0327,0.1,SWIFTJ1021.7-0327,680,SWIFTJ1021.7-0327,1.98E-05
571,SWIFTJ1031.7-3451,0.1,SWIFTJ1031.7-3451,565,SWIFTJ1031.7-3451,-99
572,SWIFTJ1125.6+5423,0.1,SWIFTJ1125.6+5423,746,SWIFTJ1125.6+5423,5.26E-05
573,SWIFTJ1141.3+2156,0.1,SWIFTJ1141.3+2156,727,SWIFTJ1141.3+2156,3.94E-05
574,SWIFTJ1149.3-0414,0.1,SWIFTJ1149.3-0414,642,SWIFTJ1149.3-0414,7.93E-06
575,SWIFTJ1153.6+4931,0.1,SWIFTJ1153.6+4931,821,SWIFTJ1153.6+4931,0.000392
576,SWIFTJ1232.0-4802,0.1,SWIFTJ1232.0-4802,773,SWIFTJ1232.0-4802,8.62E-05
577,SWIFTJ1252.3-1323,0.1,SWIFTJ1252.3-1323,678,SWIFTJ1252.3-1323,1.9E-05
578,SWIFTJ1310.9-5553,0.1,SWIFTJ1310.9-5553,818,SWIFTJ1310.9-5553,0.000267
579,SWIFTJ1419.0-2639,0.1,SWIFTJ1419.0-2639,780,SWIFTJ1419.0-2639,0.000107
580,SWIFTJ1421.4+4747,0.1,SWIFTJ1421.4+4747,664,SWIFTJ1421.4+4747,1.4E-05
581,SWIFTJ1431.2+2816,0.1,SWIFTJ1431.2+2816,646,SWIFTJ1431.2+2816,8.64E-06
582,SWIFTJ1504.2+1025,0.1,SWIFTJ1504.2+1025,742,SWIFTJ1504.2+1025,4.92E-05
583,SWIFTJ1723.2+3418,0.1,SWIFTJ1723.2+3418,701,SWIFTJ1723.2+3418,2.7E-05
584,SWIFTJ1856.6-5443,0.1,SWIFTJ1856.6-5443,695,SWIFTJ1856.6-5443,2.39E-05
585,SWIFTJ1940.4-3015,0.1,SWIFTJ1940.4-3015,785,SWIFTJ1940.4-3015,0.000116
586,SWIFTJ2044.2-1045,0.1,SWIFTJ2044.2-1045,810,SWIFTJ2044.2-1045,0.000178
587,SWIFTJ2145.5+1101,0.1,SWIFTJ2145.5+1101,652,SWIFTJ2145.5+1101,9.41E-06
588,SWIFTJ2351.9-0109,0.1,SWIFTJ2351.9-0109,744,SWIFTJ2351.9-0109,5.05E-05
589,SWIFTJ0311.5-2045,0.102,SWIFTJ0311.5-2045,751,SWIFTJ0311.5-2045,5.89E-05
590,SWIFTJ0437.4-4713,0.102,SWIFTJ0437.4-4713,756,SWIFTJ0437.4-4713,6.13E-05
591,SWIFTJ0510.7+1629,0.104,SWIFTJ0510.7+1629,776,SWIFTJ0510.7+1629,9.38E-05
592,SWIFTJ1942.6-1024,0.104,SWIFTJ1942.6-1024,805,SWIFTJ1942.6-1024,0.00017
593,SWIFTJ2352.6-1707,0.105,SWIFTJ2352.6-1707,809,SWIFTJ2352.6-1707,0.000175
594,SWIFTJ1648.0-3037,0.106,SWIFTJ1648.0-3037,774,SWIFTJ1648.0-3037,8.81E-05
595,SWIFTJ0059.4+3150,0.107,SWIFTJ0059.4+3150,748,SWIFTJ0059.4+3150,5.56E-05
596,SWIFTJ0105.7-1414,0.11,SWIFTJ0105.7-1414,707,SWIFTJ0105.7-1414,3.03E-05
597,SWIFTJ0128.0-1850,0.11,SWIFTJ0128.0-1850,735,SWIFTJ0128.0-1850,4.48E-05
598,SWIFTJ0201.0-0648,0.11,SWIFTJ0201.0-0648,520,SWIFTJ0201.0-0648,-99
