Name,T,norm,Calc_energy_flux,Sample_flux,plus_Error,minus_Error,log_energy_flux,log_sample_flux
SWIFTJ1113.6+0936,0.14,4.52e-06,1.31934835809e-16,1.35299651631e-16,4.826e-18,1.20292e-17,-15.87964051906938,-15.86870332162005
SWIFTJ1157.8+5529,0.14,8.32e-06,2.42853511443e-16,2.45000628772e-16,1.09856e-17,1.35325e-17,-15.614655612638607,-15.610832801055905
SWIFTJ1241.6-5748,0.14,6.12e-05,1.78637434733e-15,1.79266408145e-15,8.18826e-17,1.03494e-16,-14.748027526442606,-14.746501083131458
SWIFTJ1347.1+7325,0.14,5.42e-06,1.58205047692e-16,1.54968663091e-16,1.16038e-17,7.31293e-18,-15.80077966401234,-15.80975611358765
SWIFTJ1416.9-1158,0.14,1.51e-05,4.40755772537e-16,4.44328469957e-16,1.84816e-17,3.10919e-17,-15.355801991076858,-15.352295858829828
SWIFTJ1523.5+6340,0.14,1.8e-05,5.25404233409e-16,5.24303517294e-16,2.16692e-17,2.62162e-17,-15.27950643223771,-15.280417228808751
SWIFTJ1741.9-1211,0.14,0.000398,1.16172711952e-14,1.13900514163e-14,7.27835e-16,5.26046e-16,-13.934895872293806,-13.94347431545165
SWIFTJ0006.2+2012,0.149,0.00247,1.43769313591e-13,1.44055759997e-13,6.32779e-15,9.51716e-15,-12.842333800742738,-12.841469371989847
SWIFTJ0113.8-1450,0.15,7.29e-06,4.55545254571e-16,4.65414825108e-16,1.30964e-17,2.97915e-17,-15.341468473061163,-15.332159787013982
SWIFTJ0331.3+0538,0.15,3.39e-06,2.11837914922e-16,2.11064948008e-16,1.09433e-17,9.21018e-18,-15.673996306892478,-15.675583884885233
SWIFTJ0519.5-4545,0.15,8.75e-06,5.46779275223e-16,5.38079211173e-16,4.12842e-17,1.3407e-17,-15.262187955016667,-15.269153786707392
SWIFTJ0726.6-3552,0.15,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0926.2+1244,0.15,4.84e-05,3.02447053209e-15,2.96392736708e-15,2.0186e-16,1.12926e-16,-14.51935064253853,-14.528132443224727
SWIFTJ1126.7+3514,0.15,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2150.2-1855,0.15,1.28e-05,7.99859961905e-16,8.08200099729e-16,2.59841e-17,5.18089e-17,-15.096986041877486,-15.092481100302752
SWIFTJ0157.2+4715,0.16,1.84e-05,2.21476703968e-15,2.22275818029e-15,7.72087e-17,1.03283e-16,-14.654671948312679,-14.65310778277078
SWIFTJ0324.8+3410,0.16,5.95e-06,7.16188239564e-16,7.14817007402e-16,3.07058e-17,3.12914e-17,-15.144972814759987,-15.14580512301995
SWIFTJ0350.1-5019,0.16,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1148.3+0901,0.16,4.63e-05,5.57302788929e-15,5.6006027894e-15,1.99162e-16,2.97703e-16,-14.253908783584,-14.251765227632584
SWIFTJ1613.2-6043,0.16,8.67e-06,1.04358861259e-15,1.03322128574e-15,4.26559e-17,4.69695e-17,-14.981470668471795,-14.985806655359825
SWIFTJ1628.1+5145,0.16,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1656.1-5200,0.16,5.02e-05,6.0424622766e-15,6.05110142794e-15,2.24345e-16,2.1216e-16,-14.218786052234119,-14.21816556740746
SWIFTJ0149.9-5019,0.17,4.74e-06,1.00817534323e-15,1.00658974813e-15,1.6632e-17,4.70928e-17,-14.996463928231229,-14.997147497097252
SWIFTJ0226.4-2821,0.17,0.000135,2.87138544552e-14,2.85938213326e-14,9.22075e-16,1.04923e-15,-13.541908505300299,-13.54372780082459
SWIFTJ0726.5+3659,0.17,2.14e-05,4.55167767386e-15,4.56765949804e-15,1.73052e-16,1.85109e-16,-14.341828500000506,-14.340306278587347
SWIFTJ1306.4-4025B,0.17,6.07e-06,1.2910600082e-15,1.28194471428e-15,4.6879e-17,4.64623e-17,-14.8890535713464,-14.89213070399272
SWIFTJ0105.5-4213,0.18,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0259.9+4419,0.18,4.43e-06,1.550464101e-15,1.54649480451e-15,5.70421e-17,6.10944e-17,-14.809538284840562,-14.810651534680982
SWIFTJ0300.0-1048,0.18,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1143.7+7942,0.18,1.09e-05,3.81491178563e-15,3.78718017692e-15,8.38917e-17,8.31466e-17,-14.41851550003118,-14.421684032618435
SWIFTJ2010.6-2521,0.18,2.44e-06,8.53980192328e-16,8.53244308335e-16,2.90736e-17,3.13935e-17,-15.068552202452086,-15.068926600051395
SWIFTJ2352.2+5845,0.18,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0209.7+5226,0.19,3.3e-05,1.79075973227e-14,1.78822824173e-14,3.71775e-16,3.59438e-16,-13.746962679895153,-13.74757705053055
SWIFTJ0505.8-2351,0.19,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0623.8-3215,0.19,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1100.9+1104,0.19,5.29e-06,2.87064208773e-15,2.89774907956e-15,6.05015e-17,1.26046e-16,-14.542020952057818,-14.537939223447276
SWIFTJ1131.9-1233,0.19,1.28e-06,6.94597706057e-16,6.95036840922e-16,1.46197e-17,1.67407e-17,-15.15826665530159,-15.157992174711705
SWIFTJ1238.6+0928,0.19,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2201.9-3152,0.19,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ2204.7+0337,0.19,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0123.8-3504,0.2,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0308.2-2258,0.2,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1009.3-4250,0.2,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1049.4+2258,0.2,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0255.2-0011,0.21,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0600.7+0008,0.21,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1512.8-0906,0.21,7.17e-06,8.10861120573e-15,8.17711637844e-15,9.3142e-17,2.18132e-16,-14.091053522772494,-14.087399821233381
SWIFTJ2157.2-6942,0.21,3.66e-06,4.13912357785e-15,4.14101721289e-15,3.00326e-17,1.07631e-16,-14.38309160709084,-14.382892964269587
SWIFTJ1408.1-3024,0.22,7.77e-05,1.19736232634e-13,1.19855657351e-13,2.45666e-15,1.76664e-15,-12.921774410561616,-12.921341461851696
SWIFTJ0042.9-2332,0.23,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0203.1-2359,0.23,2.31e-05,4.70060785567e-14,4.69209589826e-14,8.58695e-16,8.08749e-16,-13.32784597795909,-13.328633120243577
SWIFTJ0231.6-3645,0.23,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ0838.4-3557,0.23,0.000228,4.63956120226e-13,4.62285549553e-13,9.31868e-15,9.62317e-15,-12.333523091955595,-12.33508968183263
SWIFTJ1441.4+5341,0.23,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1513.8-8125,0.23,0.00012,2.44187421791e-13,2.43083081112e-13,4.47682e-15,4.7165e-15,-12.612276710528498,-12.61424526754616
SWIFTJ1618.7-5930,0.23,1.03e-05,2.09594211776e-14,2.1022903531e-14,3.8503e-16,4.07596e-16,-13.67862071514558,-13.677307302561498
SWIFTJ1652.9+0223,0.24,-99.0,-99,-99,-99,-99,-99,-99
SWIFTJ1653.2+2352,0.24,-99.0,-99,-99,-99,-99,-99,-99
